day,person_i,person_j,contact_type,weight
39,11922,503792,1,2.0
39,13948,205442,1,2.0
39,20403,265508,1,2.0
39,20856,186948,1,2.0
39,23819,820765,1,2.0
39,39339,313243,1,2.0
39,41665,403211,1,2.0
39,47379,834160,1,2.0
39,55868,74951,1,2.0
39,57147,92359,1,2.0
39,57147,903276,1,2.0
39,59451,552823,1,2.0
39,67561,68735,1,2.0
39,68091,945954,1,2.0
39,74662,88753,1,2.0
39,83733,157600,1,2.0
39,83733,862092,1,2.0
39,83966,265508,1,2.0
39,88753,833672,1,2.0
39,100241,126970,1,2.0
39,102284,908216,1,2.0
39,114676,459982,1,2.0
39,114676,521815,1,2.0
39,117108,757411,1,2.0
39,118873,305968,1,2.0
39,121334,187141,1,2.0
39,126127,981156,1,2.0
39,136180,904642,1,2.0
39,145088,671850,1,2.0
39,164330,393202,1,2.0
39,184086,537961,1,2.0
39,193043,398272,1,2.0
39,199742,999581,1,2.0
39,206575,471501,1,2.0
39,206575,532061,1,2.0
39,208467,352159,1,2.0
39,216781,878886,1,2.0
39,222341,408894,1,2.0
39,226014,364833,1,2.0
39,232934,406814,1,2.0
39,232934,974011,1,2.0
39,234711,632880,1,2.0
39,236484,541183,1,2.0
39,236484,933741,1,2.0
39,248614,901188,1,2.0
39,251974,295021,1,2.0
39,260699,776962,1,2.0
39,260699,845277,1,2.0
39,268699,499780,1,2.0
39,281094,703604,1,2.0
39,312870,813840,1,2.0
39,316030,976322,1,2.0
39,324209,920249,1,2.0
39,325563,420875,1,2.0
39,329875,962597,1,2.0
39,329903,330741,1,2.0
39,343497,581523,1,2.0
39,364833,409002,1,2.0
39,375615,521097,1,2.0
39,375615,904642,1,2.0
39,403211,413753,1,2.0
39,419012,582515,1,2.0
39,419012,764204,1,2.0
39,420875,571191,1,2.0
39,438068,481471,1,2.0
39,438068,501032,1,2.0
39,439422,490685,1,2.0
39,456111,542318,1,2.0
39,472994,958620,1,2.0
39,473327,519963,1,2.0
39,481471,501032,1,2.0
39,486049,919812,1,2.0
39,495835,519963,1,2.0
39,503792,942593,1,2.0
39,508602,527989,1,2.0
39,537961,606987,1,2.0
39,541183,933741,1,2.0
39,566466,729439,1,2.0
39,600831,920249,1,2.0
39,605635,629441,1,2.0
39,629441,989946,1,2.0
39,713914,976322,1,2.0
39,746405,975173,1,2.0
39,809228,878886,1,2.0
39,834160,946093,1,2.0
39,837028,892438,1,2.0
39,845277,947495,1,2.0
39,869402,991912,1,2.0
39,958141,993446,1,2.0
