day,person_i,person_j,contact_type,weight
39,7213,240269,1,2.0
39,7331,712760,1,2.0
39,8463,716707,1,2.0
39,11306,80605,1,2.0
39,14954,211552,1,2.0
39,18668,487017,1,2.0
39,25193,638488,1,2.0
39,40271,959572,1,2.0
39,42182,663306,1,2.0
39,42480,530067,1,2.0
39,53689,286177,1,2.0
39,53854,287732,1,2.0
39,54491,347992,1,2.0
39,64052,401850,1,2.0
39,70200,596995,1,2.0
39,80994,570881,1,2.0
39,84244,844945,1,2.0
39,94451,860881,1,2.0
39,97250,581710,1,2.0
39,101477,506776,1,2.0
39,114261,925548,1,2.0
39,118324,316151,1,2.0
39,119148,436276,1,2.0
39,125162,291431,1,2.0
39,126381,695024,1,2.0
39,130770,277584,1,2.0
39,134288,622267,1,2.0
39,134753,597282,1,2.0
39,142857,394612,1,2.0
39,157816,316151,1,2.0
39,162855,182897,1,2.0
39,164608,943024,1,2.0
39,178597,465705,1,2.0
39,182016,656817,1,2.0
39,182383,366800,1,2.0
39,186943,283688,1,2.0
39,189598,292623,1,2.0
39,196047,570306,1,2.0
39,197829,410018,1,2.0
39,209284,720137,1,2.0
39,213287,451061,1,2.0
39,213868,766136,1,2.0
39,218663,831340,1,2.0
39,221484,334054,1,2.0
39,230581,956320,1,2.0
39,231160,717242,1,2.0
39,232594,738528,1,2.0
39,241322,415905,1,2.0
39,251616,900459,1,2.0
39,258763,357711,1,2.0
39,258873,394092,1,2.0
39,259823,330736,1,2.0
39,261023,529899,1,2.0
39,262122,914521,1,2.0
39,267222,267317,1,2.0
39,287562,642586,1,2.0
39,290826,521592,1,2.0
39,292139,681243,1,2.0
39,304380,406255,1,2.0
39,305378,386123,1,2.0
39,316381,702667,1,2.0
39,320372,979516,1,2.0
39,323960,331358,1,2.0
39,327924,423066,1,2.0
39,349301,562048,1,2.0
39,361615,860443,1,2.0
39,370471,382992,1,2.0
39,379505,928435,1,2.0
39,381485,661096,1,2.0
39,393190,477958,1,2.0
39,394331,739097,1,2.0
39,407168,419374,1,2.0
39,407168,421198,1,2.0
39,425606,827488,1,2.0
39,429298,967374,1,2.0
39,455960,701500,1,2.0
39,461087,647904,1,2.0
39,477652,598426,1,2.0
39,481103,771939,1,2.0
39,487436,985159,1,2.0
39,497445,766136,1,2.0
39,511093,647369,1,2.0
39,517731,913280,1,2.0
39,523562,813828,1,2.0
39,538801,832268,1,2.0
39,541289,592092,1,2.0
39,549707,635501,1,2.0
39,554250,632988,1,2.0
39,556846,721373,1,2.0
39,570306,656231,1,2.0
39,576832,627934,1,2.0
39,587006,622748,1,2.0
39,588794,779756,1,2.0
39,598426,985440,1,2.0
39,604580,830574,1,2.0
39,657765,873805,1,2.0
39,673674,900796,1,2.0
39,679268,724455,1,2.0
39,685556,793725,1,2.0
39,715199,775706,1,2.0
39,737193,901896,1,2.0
39,761906,772145,1,2.0
39,766057,934401,1,2.0
39,766136,873964,1,2.0
39,788877,966363,1,2.0
39,889608,930604,1,2.0
39,904804,969568,1,2.0
