day,person_i,person_j,contact_type,weight
39,3929,30033,1,2.0
39,6893,794028,1,2.0
39,7985,972705,1,2.0
39,8994,401157,1,2.0
39,11580,938504,1,2.0
39,35030,154753,1,2.0
39,39954,420639,1,2.0
39,43164,844581,1,2.0
39,48950,480053,1,2.0
39,48950,532398,1,2.0
39,50062,681323,1,2.0
39,50062,858379,1,2.0
39,50808,315130,1,2.0
39,50808,919690,1,2.0
39,51071,341197,1,2.0
39,58069,184698,1,2.0
39,62647,927302,1,2.0
39,80872,251472,1,2.0
39,110419,809571,1,2.0
39,116042,431078,1,2.0
39,116042,614294,1,2.0
39,119513,501173,1,2.0
39,119555,337806,1,2.0
39,129697,326092,1,2.0
39,137684,485897,1,2.0
39,143403,553329,1,2.0
39,145232,186758,1,2.0
39,145232,825667,1,2.0
39,153140,312509,1,2.0
39,158981,658997,1,2.0
39,162700,257681,1,2.0
39,162700,305131,1,2.0
39,164132,689561,1,2.0
39,170153,927302,1,2.0
39,172108,474048,1,2.0
39,177133,216631,1,2.0
39,178052,585547,1,2.0
39,184698,806131,1,2.0
39,186758,825667,1,2.0
39,187515,745912,1,2.0
39,190759,278961,1,2.0
39,192573,747093,1,2.0
39,195259,747132,1,2.0
39,203014,583716,1,2.0
39,208113,647541,1,2.0
39,211002,260160,1,2.0
39,216631,972705,1,2.0
39,222574,668503,1,2.0
39,232749,901070,1,2.0
39,233964,282638,1,2.0
39,233964,933233,1,2.0
39,248165,252783,1,2.0
39,252332,912963,1,2.0
39,253463,452171,1,2.0
39,253463,800207,1,2.0
39,259479,736893,1,2.0
39,260160,705317,1,2.0
39,263856,298252,1,2.0
39,269649,301666,1,2.0
39,274094,981782,1,2.0
39,275468,809870,1,2.0
39,275757,382158,1,2.0
39,278961,552037,1,2.0
39,281131,617363,1,2.0
39,303442,436044,1,2.0
39,308496,683400,1,2.0
39,326092,406714,1,2.0
39,341197,975616,1,2.0
39,350957,681323,1,2.0
39,351041,786568,1,2.0
39,351041,912075,1,2.0
39,355964,755673,1,2.0
39,360702,848078,1,2.0
39,364487,494009,1,2.0
39,369663,562028,1,2.0
39,375125,475443,1,2.0
39,383758,563734,1,2.0
39,385774,790469,1,2.0
39,390724,828552,1,2.0
39,425753,938504,1,2.0
39,425900,822265,1,2.0
39,429665,809870,1,2.0
39,431078,614294,1,2.0
39,438477,757052,1,2.0
39,438477,912856,1,2.0
39,453520,583716,1,2.0
39,473204,553329,1,2.0
39,475443,895819,1,2.0
39,480053,532398,1,2.0
39,485897,504141,1,2.0
39,491518,600154,1,2.0
39,544629,716952,1,2.0
39,548469,585004,1,2.0
39,552891,621902,1,2.0
39,552891,781184,1,2.0
39,583587,765838,1,2.0
39,586325,792267,1,2.0
39,592174,604435,1,2.0
39,621127,677159,1,2.0
39,644853,917080,1,2.0
39,658997,776300,1,2.0
39,683840,716952,1,2.0
39,689704,739424,1,2.0
39,747132,958058,1,2.0
39,756677,812221,1,2.0
39,757052,912856,1,2.0
39,762244,886460,1,2.0
39,765838,957034,1,2.0
39,786568,912075,1,2.0
39,812221,965605,1,2.0
39,826185,854575,1,2.0
39,834663,886460,1,2.0
39,848078,921097,1,2.0
39,921457,970159,1,2.0
39,943813,972000,1,2.0
