day,person_i,person_j,contact_type,weight
39,661,21594,1,2.0
39,14698,813919,1,2.0
39,17052,32866,1,2.0
39,19099,786398,1,2.0
39,37013,307625,1,2.0
39,42963,73933,1,2.0
39,55616,69926,1,2.0
39,63938,711218,1,2.0
39,73933,329422,1,2.0
39,73933,368587,1,2.0
39,77342,743227,1,2.0
39,80684,106137,1,2.0
39,81800,157705,1,2.0
39,81800,492327,1,2.0
39,86063,133473,1,2.0
39,92129,718267,1,2.0
39,99185,172316,1,2.0
39,99185,405151,1,2.0
39,109988,293174,1,2.0
39,112012,720506,1,2.0
39,122552,382528,1,2.0
39,122552,848774,1,2.0
39,130682,411839,1,2.0
39,142972,920156,1,2.0
39,142972,993613,1,2.0
39,148916,284774,1,2.0
39,160328,679443,1,2.0
39,160328,838917,1,2.0
39,172316,196673,1,2.0
39,172316,405151,1,2.0
39,177617,620008,1,2.0
39,182187,942297,1,2.0
39,184452,400435,1,2.0
39,184452,707845,1,2.0
39,196673,620008,1,2.0
39,212211,809840,1,2.0
39,213085,758946,1,2.0
39,218281,451362,1,2.0
39,220539,741140,1,2.0
39,228913,682864,1,2.0
39,256830,417881,1,2.0
39,268650,720218,1,2.0
39,290678,368587,1,2.0
39,305367,439362,1,2.0
39,305367,723028,1,2.0
39,307442,993613,1,2.0
39,317769,539460,1,2.0
39,325889,920156,1,2.0
39,337791,916862,1,2.0
39,347035,968863,1,2.0
39,360964,439362,1,2.0
39,368587,505129,1,2.0
39,377970,772919,1,2.0
39,382221,810008,1,2.0
39,382528,622888,1,2.0
39,382528,624655,1,2.0
39,382528,884205,1,2.0
39,400435,506851,1,2.0
39,400435,553789,1,2.0
39,411839,434388,1,2.0
39,411839,710558,1,2.0
39,428069,573769,1,2.0
39,428344,643078,1,2.0
39,428344,716953,1,2.0
39,432255,693672,1,2.0
39,434388,710558,1,2.0
39,439362,723028,1,2.0
39,439362,763957,1,2.0
39,439362,777006,1,2.0
39,445083,936845,1,2.0
39,471727,775356,1,2.0
39,481315,774804,1,2.0
39,492327,573769,1,2.0
39,492327,859460,1,2.0
39,497909,625171,1,2.0
39,497909,710558,1,2.0
39,498621,983655,1,2.0
39,506851,728139,1,2.0
39,529119,559475,1,2.0
39,529342,550990,1,2.0
39,543351,577955,1,2.0
39,545170,884205,1,2.0
39,553789,707845,1,2.0
39,567061,960494,1,2.0
39,577955,630931,1,2.0
39,577955,679443,1,2.0
39,601072,710558,1,2.0
39,613392,825142,1,2.0
39,630931,679443,1,2.0
39,643078,716953,1,2.0
39,643078,718267,1,2.0
39,681128,688077,1,2.0
39,698311,742281,1,2.0
39,709679,991986,1,2.0
39,761550,915598,1,2.0
39,781886,949390,1,2.0
39,832741,881211,1,2.0
39,842479,920156,1,2.0
39,919224,946569,1,2.0
39,920156,993613,1,2.0
39,939203,989397,1,2.0
