positive_positive_edges,positive_with_positive_neighbor,isolated_positive_count,positive_component_count,positive_cluster_component_count,largest_positive_component,largest_positive_component_ratio,positive_neighbor_ratio,sample_size,positive_count,positive_rate,contact_edges,contact_types,age_groups,seed,sample_index,path,attempts_used,sampling_conditions_met,target_age_groups,workplace_contact_types,max_positive_rate_condition,min_positive_count_condition,nonoverlap_person_count_so_far
106,106,0,20,20,6,0.05660377358490566,1.0,3000,106,0.035333333333333335,154,1,2;3;4;5,1,23,openabm_sample_outputs/seed_1/samples/company_n3000_sample23_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,69000
86,94,0,19,19,5,0.05319148936170213,1.0,3000,94,0.03133333333333333,136,1,2;3;4;5,1,24,openabm_sample_outputs/seed_1/samples/company_n3000_sample24_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,72000
71,85,0,17,17,5,0.058823529411764705,1.0,3000,85,0.028333333333333332,116,1,2;3;4;5,1,25,openabm_sample_outputs/seed_1/samples/company_n3000_sample25_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,75000
100,115,0,28,28,5,0.043478260869565216,1.0,3000,115,0.03833333333333333,148,1,2;3;4;5,1,26,openabm_sample_outputs/seed_1/samples/company_n3000_sample26_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,78000
77,90,0,23,23,4,0.044444444444444446,1.0,3000,90,0.03,114,1,2;3;4;5,1,27,openabm_sample_outputs/seed_1/samples/company_n3000_sample27_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,81000
64,78,0,20,20,4,0.05128205128205128,1.0,3000,78,0.026,120,1,2;3;4;5,1,28,openabm_sample_outputs/seed_1/samples/company_n3000_sample28_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,84000
64,84,0,21,21,4,0.047619047619047616,1.0,3000,84,0.028,110,1,2;3;4;5,1,29,openabm_sample_outputs/seed_1/samples/company_n3000_sample29_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,87000
50,68,0,22,22,4,0.058823529411764705,1.0,3000,68,0.02266666666666667,92,1,2;3;4;5,1,30,openabm_sample_outputs/seed_1/samples/company_n3000_sample30_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,90000
60,84,0,28,28,3,0.03571428571428571,1.0,3000,84,0.028,120,1,2;3;4;5,1,31,openabm_sample_outputs/seed_1/samples/company_n3000_sample31_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,93000
61,86,0,29,29,3,0.03488372093023256,1.0,3000,86,0.028666666666666667,123,1,2;3;4;5,1,32,openabm_sample_outputs/seed_1/samples/company_n3000_sample32_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,96000
42,60,0,20,20,3,0.05,1.0,3000,60,0.02,89,1,2;3;4;5,1,33,openabm_sample_outputs/seed_1/samples/company_n3000_sample33_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,99000
51,69,0,23,23,3,0.043478260869565216,1.0,3000,69,0.023,90,1,2;3;4;5,1,34,openabm_sample_outputs/seed_1/samples/company_n3000_sample34_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,102000
44,60,0,20,20,3,0.05,1.0,3000,60,0.02,99,1,2;3;4;5,1,35,openabm_sample_outputs/seed_1/samples/company_n3000_sample35_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,105000
64,89,0,30,30,3,0.033707865168539325,1.0,3000,89,0.029666666666666668,115,1,2;3;4;5,1,36,openabm_sample_outputs/seed_1/samples/company_n3000_sample36_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,108000
52,95,0,45,45,3,0.031578947368421054,1.0,3000,95,0.03166666666666667,101,1,2;3;4;5,1,37,openabm_sample_outputs/seed_1/samples/company_n3000_sample37_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,111000
57,114,0,57,57,2,0.017543859649122806,1.0,3000,114,0.038,101,1,2;3;4;5,1,38,openabm_sample_outputs/seed_1/samples/company_n3000_sample38_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,114000
