day,person_i,person_j,contact_type,weight
39,422,452736,1,2.0
39,12517,388947,1,2.0
39,31794,179896,1,2.0
39,40904,223702,1,2.0
39,40940,854158,1,2.0
39,41194,67233,1,2.0
39,56261,805359,1,2.0
39,58369,361110,1,2.0
39,58369,655030,1,2.0
39,61497,73363,1,2.0
39,73363,580327,1,2.0
39,75500,423278,1,2.0
39,79348,773037,1,2.0
39,81383,830419,1,2.0
39,85965,965701,1,2.0
39,86903,456754,1,2.0
39,89299,763761,1,2.0
39,95622,779570,1,2.0
39,102235,133592,1,2.0
39,109122,428748,1,2.0
39,110496,965701,1,2.0
39,116704,371972,1,2.0
39,116704,989634,1,2.0
39,116829,209325,1,2.0
39,127840,910764,1,2.0
39,133592,712687,1,2.0
39,144142,828152,1,2.0
39,160898,457834,1,2.0
39,161474,281772,1,2.0
39,161474,328673,1,2.0
39,161474,744444,1,2.0
39,161654,446535,1,2.0
39,178381,205752,1,2.0
39,178381,805359,1,2.0
39,183725,686672,1,2.0
39,188462,576595,1,2.0
39,191059,773037,1,2.0
39,194430,984937,1,2.0
39,199366,813345,1,2.0
39,202298,910764,1,2.0
39,202298,929880,1,2.0
39,207311,881310,1,2.0
39,207933,509580,1,2.0
39,211007,594025,1,2.0
39,228860,549028,1,2.0
39,228860,845743,1,2.0
39,233759,779570,1,2.0
39,234249,864237,1,2.0
39,243230,788467,1,2.0
39,243514,803297,1,2.0
39,243514,906243,1,2.0
39,255818,580327,1,2.0
39,264825,503322,1,2.0
39,264825,605417,1,2.0
39,281772,744444,1,2.0
39,295414,564917,1,2.0
39,302219,773037,1,2.0
39,312055,461170,1,2.0
39,315871,535139,1,2.0
39,321933,618252,1,2.0
39,328673,744444,1,2.0
39,348292,852749,1,2.0
39,356036,766224,1,2.0
39,358188,870873,1,2.0
39,358685,594334,1,2.0
39,358685,756297,1,2.0
39,361110,655030,1,2.0
39,361110,664487,1,2.0
39,364969,943677,1,2.0
39,371972,843150,1,2.0
39,383689,883262,1,2.0
39,387303,425206,1,2.0
39,387308,881073,1,2.0
39,387308,943677,1,2.0
39,406710,581638,1,2.0
39,416451,649161,1,2.0
39,416451,860442,1,2.0
39,423278,712110,1,2.0
39,423278,920567,1,2.0
39,457834,779570,1,2.0
39,457834,899965,1,2.0
39,461170,619069,1,2.0
39,461170,932569,1,2.0
39,499084,798433,1,2.0
39,503322,605417,1,2.0
39,508007,686672,1,2.0
39,509580,700301,1,2.0
39,530282,620058,1,2.0
39,530282,828152,1,2.0
39,534546,893569,1,2.0
39,547909,926893,1,2.0
39,549028,668897,1,2.0
39,576595,985069,1,2.0
39,589463,605417,1,2.0
39,594334,756297,1,2.0
39,594334,834334,1,2.0
39,609830,649161,1,2.0
39,609830,860442,1,2.0
39,618561,822699,1,2.0
39,619069,879499,1,2.0
39,660988,882135,1,2.0
39,686672,992264,1,2.0
39,700301,988664,1,2.0
39,716951,906243,1,2.0
39,737698,945878,1,2.0
39,743650,814210,1,2.0
39,756297,834334,1,2.0
39,796476,805426,1,2.0
39,803297,906243,1,2.0
39,843150,989634,1,2.0
39,852749,945878,1,2.0
39,893009,985069,1,2.0
39,910764,929880,1,2.0
39,914427,965701,1,2.0
