day,person_i,person_j,contact_type,weight
39,4576,433256,1,2.0
39,11518,624631,1,2.0
39,18275,737715,1,2.0
39,18275,849026,1,2.0
39,18808,382364,1,2.0
39,18808,490404,1,2.0
39,24116,990549,1,2.0
39,26260,593666,1,2.0
39,36370,79000,1,2.0
39,41394,371679,1,2.0
39,43778,157119,1,2.0
39,43778,737715,1,2.0
39,43778,849026,1,2.0
39,43778,932981,1,2.0
39,46822,467678,1,2.0
39,47227,704557,1,2.0
39,47227,872896,1,2.0
39,51698,438069,1,2.0
39,51698,691616,1,2.0
39,51698,891728,1,2.0
39,60919,584562,1,2.0
39,65460,438461,1,2.0
39,76983,141676,1,2.0
39,81055,444413,1,2.0
39,89274,284310,1,2.0
39,91048,559942,1,2.0
39,91048,771512,1,2.0
39,92567,393889,1,2.0
39,96702,284310,1,2.0
39,96702,555252,1,2.0
39,96702,934633,1,2.0
39,104269,194999,1,2.0
39,104289,164872,1,2.0
39,104289,540692,1,2.0
39,112986,295309,1,2.0
39,115578,177536,1,2.0
39,120951,435537,1,2.0
39,120951,610710,1,2.0
39,137000,192676,1,2.0
39,137000,194999,1,2.0
39,137599,810001,1,2.0
39,141676,654213,1,2.0
39,141676,720969,1,2.0
39,142239,174975,1,2.0
39,156380,248549,1,2.0
39,156380,744898,1,2.0
39,156709,181088,1,2.0
39,176075,993739,1,2.0
39,182684,490404,1,2.0
39,183167,215779,1,2.0
39,192676,511173,1,2.0
39,193906,348379,1,2.0
39,193906,928729,1,2.0
39,194999,541210,1,2.0
39,206572,240868,1,2.0
39,213316,555252,1,2.0
39,215046,335515,1,2.0
39,215222,507950,1,2.0
39,215222,742160,1,2.0
39,215222,751109,1,2.0
39,228540,342613,1,2.0
39,228540,574421,1,2.0
39,228540,928729,1,2.0
39,229844,357024,1,2.0
39,229844,427189,1,2.0
39,229844,584562,1,2.0
39,231086,625992,1,2.0
39,238207,908847,1,2.0
39,238207,983869,1,2.0
39,242070,423536,1,2.0
39,242070,438069,1,2.0
39,244597,334288,1,2.0
39,248549,433256,1,2.0
39,248549,647171,1,2.0
39,256925,486757,1,2.0
39,256925,658603,1,2.0
39,260150,916574,1,2.0
39,276652,593026,1,2.0
39,283153,353172,1,2.0
39,284310,555252,1,2.0
39,289523,400377,1,2.0
39,293388,485808,1,2.0
39,303599,611688,1,2.0
39,303599,918930,1,2.0
39,306496,674186,1,2.0
39,309739,398437,1,2.0
39,309739,588846,1,2.0
39,309739,597524,1,2.0
39,309739,688614,1,2.0
39,309739,806414,1,2.0
39,311035,886638,1,2.0
39,318036,357976,1,2.0
39,318036,596056,1,2.0
39,320107,697623,1,2.0
39,320107,897323,1,2.0
39,331955,969100,1,2.0
39,334288,611688,1,2.0
39,334288,841285,1,2.0
39,334288,918930,1,2.0
39,348379,928729,1,2.0
39,349915,486757,1,2.0
39,349915,658603,1,2.0
39,357024,427189,1,2.0
39,357024,457916,1,2.0
39,357024,584562,1,2.0
39,357976,596056,1,2.0
39,365255,512990,1,2.0
39,365255,654213,1,2.0
39,368899,461381,1,2.0
39,382364,391039,1,2.0
39,385398,796288,1,2.0
39,385867,391039,1,2.0
39,385867,490404,1,2.0
39,391039,490404,1,2.0
39,398437,597524,1,2.0
39,400377,728098,1,2.0
39,427189,584562,1,2.0
39,430958,435537,1,2.0
39,430958,552391,1,2.0
39,431736,897323,1,2.0
39,435537,520752,1,2.0
39,435537,610710,1,2.0
39,457916,584562,1,2.0
39,467678,751109,1,2.0
39,473405,502074,1,2.0
39,485290,860469,1,2.0
39,486757,658603,1,2.0
39,507950,742160,1,2.0
39,508070,647976,1,2.0
39,512990,654213,1,2.0
39,520752,552391,1,2.0
39,526324,881706,1,2.0
39,540692,908847,1,2.0
39,567041,747907,1,2.0
39,578728,596056,1,2.0
39,579601,943885,1,2.0
39,588846,597524,1,2.0
39,588846,688614,1,2.0
39,596056,853892,1,2.0
39,596056,958365,1,2.0
39,597524,806414,1,2.0
39,611688,918930,1,2.0
39,658603,728098,1,2.0
39,665198,685870,1,2.0
39,665198,727041,1,2.0
39,688335,727041,1,2.0
39,688335,812482,1,2.0
39,697623,881706,1,2.0
39,727041,809899,1,2.0
39,737715,849026,1,2.0
39,812482,884247,1,2.0
39,841285,918930,1,2.0
39,849026,932981,1,2.0
39,853892,958365,1,2.0
39,888380,953936,1,2.0
39,908847,983869,1,2.0
