day,person_i,person_j,contact_type,weight
39,4124,34631,1,2.0
39,13149,991150,1,2.0
39,17492,208182,1,2.0
39,24494,988581,1,2.0
39,44630,844089,1,2.0
39,56654,873448,1,2.0
39,71144,508745,1,2.0
39,71989,831102,1,2.0
39,74347,219309,1,2.0
39,77635,809942,1,2.0
39,107416,862828,1,2.0
39,114458,629443,1,2.0
39,129685,746287,1,2.0
39,132632,761632,1,2.0
39,132851,428199,1,2.0
39,133256,740193,1,2.0
39,139957,484224,1,2.0
39,140182,866889,1,2.0
39,143084,567828,1,2.0
39,153814,849911,1,2.0
39,154958,210061,1,2.0
39,164442,395254,1,2.0
39,164713,219309,1,2.0
39,166608,296623,1,2.0
39,170863,468359,1,2.0
39,171249,586369,1,2.0
39,193137,915362,1,2.0
39,202462,911009,1,2.0
39,215227,925342,1,2.0
39,219495,477227,1,2.0
39,221902,803036,1,2.0
39,234564,805869,1,2.0
39,265919,920670,1,2.0
39,266102,900180,1,2.0
39,276967,378055,1,2.0
39,276971,716280,1,2.0
39,278452,371496,1,2.0
39,294341,461863,1,2.0
39,297714,980217,1,2.0
39,297866,703989,1,2.0
39,301443,383019,1,2.0
39,318406,915878,1,2.0
39,318421,410926,1,2.0
39,319547,930307,1,2.0
39,321892,584829,1,2.0
39,338231,933033,1,2.0
39,344870,931883,1,2.0
39,356691,537934,1,2.0
39,360971,858792,1,2.0
39,368197,657852,1,2.0
39,368820,644617,1,2.0
39,395255,776779,1,2.0
39,405290,705409,1,2.0
39,420224,895721,1,2.0
39,436988,819083,1,2.0
39,442754,672992,1,2.0
39,469389,873448,1,2.0
39,476369,911815,1,2.0
39,477227,813387,1,2.0
39,492618,796299,1,2.0
39,495592,793212,1,2.0
39,503474,781098,1,2.0
39,511221,617435,1,2.0
39,516581,710048,1,2.0
39,530571,807284,1,2.0
39,557337,779396,1,2.0
39,560351,615117,1,2.0
39,573144,735070,1,2.0
39,592489,680072,1,2.0
39,601196,999657,1,2.0
39,602765,799634,1,2.0
39,604112,683455,1,2.0
39,606577,946792,1,2.0
39,625843,897366,1,2.0
39,639575,915015,1,2.0
39,664014,707687,1,2.0
39,669205,874514,1,2.0
39,687920,947804,1,2.0
39,690942,722585,1,2.0
39,747444,816688,1,2.0
39,816687,901947,1,2.0
39,871921,978175,1,2.0
39,940012,941173,1,2.0
