day,person_i,person_j,contact_type,weight
39,1178,787992,1,2.0
39,5082,313752,1,2.0
39,5454,855378,1,2.0
39,25023,282079,1,2.0
39,26993,286378,1,2.0
39,28001,543873,1,2.0
39,34989,377783,1,2.0
39,35875,707457,1,2.0
39,48799,288067,1,2.0
39,49777,764449,1,2.0
39,51455,852211,1,2.0
39,53150,271945,1,2.0
39,54677,628006,1,2.0
39,74067,362426,1,2.0
39,78533,418381,1,2.0
39,91094,831627,1,2.0
39,95333,430119,1,2.0
39,101593,607101,1,2.0
39,110792,483026,1,2.0
39,123148,282079,1,2.0
39,136657,153938,1,2.0
39,140591,746967,1,2.0
39,150345,969046,1,2.0
39,152560,943281,1,2.0
39,154670,777191,1,2.0
39,159119,507402,1,2.0
39,162629,453882,1,2.0
39,163222,502115,1,2.0
39,166725,168692,1,2.0
39,171006,539186,1,2.0
39,171336,629858,1,2.0
39,187929,219094,1,2.0
39,192845,779051,1,2.0
39,193628,564338,1,2.0
39,197199,220913,1,2.0
39,199101,789779,1,2.0
39,203053,376579,1,2.0
39,204483,803048,1,2.0
39,208863,917013,1,2.0
39,216200,831627,1,2.0
39,227445,741499,1,2.0
39,234896,517146,1,2.0
39,235838,551162,1,2.0
39,248318,847059,1,2.0
39,249947,678608,1,2.0
39,257427,770978,1,2.0
39,262910,725674,1,2.0
39,265939,420425,1,2.0
39,267684,478103,1,2.0
39,273299,791459,1,2.0
39,283158,535039,1,2.0
39,290883,984975,1,2.0
39,294135,438039,1,2.0
39,297341,876052,1,2.0
39,303341,605535,1,2.0
39,306625,705021,1,2.0
39,307958,315988,1,2.0
39,318481,943281,1,2.0
39,323405,807753,1,2.0
39,334277,386547,1,2.0
39,343350,581256,1,2.0
39,351924,894154,1,2.0
39,353828,787950,1,2.0
39,353998,416354,1,2.0
39,356803,775897,1,2.0
39,372108,488484,1,2.0
39,382040,542888,1,2.0
39,382045,427497,1,2.0
39,391175,479468,1,2.0
39,392796,840023,1,2.0
39,394134,515081,1,2.0
39,428863,861523,1,2.0
39,430886,722714,1,2.0
39,437706,675861,1,2.0
39,442687,928736,1,2.0
39,465016,720980,1,2.0
39,466363,517198,1,2.0
39,468011,493700,1,2.0
39,496600,990008,1,2.0
39,500321,795748,1,2.0
39,508116,950410,1,2.0
39,522826,800853,1,2.0
39,537010,855349,1,2.0
39,540791,700870,1,2.0
39,549140,889112,1,2.0
39,573031,897834,1,2.0
39,630247,667067,1,2.0
39,658404,964597,1,2.0
39,680096,790330,1,2.0
39,786307,823217,1,2.0
39,790330,834600,1,2.0
39,795301,902496,1,2.0
39,833131,846154,1,2.0
39,873932,906726,1,2.0
39,913791,952980,1,2.0
