day,person_i,person_j,contact_type,weight
39,4775,731176,1,2.0
39,8020,961724,1,2.0
39,19055,239606,1,2.0
39,22312,83153,1,2.0
39,22312,270028,1,2.0
39,22312,645709,1,2.0
39,22312,690596,1,2.0
39,22312,770493,1,2.0
39,22312,908172,1,2.0
39,29703,427358,1,2.0
39,29762,238108,1,2.0
39,29762,321618,1,2.0
39,29762,404782,1,2.0
39,42124,191709,1,2.0
39,46886,364831,1,2.0
39,52878,493211,1,2.0
39,60357,734122,1,2.0
39,61911,124911,1,2.0
39,61911,284066,1,2.0
39,61911,388218,1,2.0
39,61911,455788,1,2.0
39,67441,327769,1,2.0
39,69197,548166,1,2.0
39,71947,824908,1,2.0
39,83153,270028,1,2.0
39,83153,734934,1,2.0
39,83153,809524,1,2.0
39,95608,407717,1,2.0
39,99369,817830,1,2.0
39,101584,183764,1,2.0
39,101584,272923,1,2.0
39,101584,321618,1,2.0
39,101584,664683,1,2.0
39,116750,919252,1,2.0
39,124911,242712,1,2.0
39,124911,817830,1,2.0
39,161675,191709,1,2.0
39,170438,183764,1,2.0
39,170438,272923,1,2.0
39,170438,465160,1,2.0
39,170438,698960,1,2.0
39,170438,776761,1,2.0
39,170438,899263,1,2.0
39,176477,726860,1,2.0
39,181580,329889,1,2.0
39,183764,321618,1,2.0
39,183764,404782,1,2.0
39,183764,698960,1,2.0
39,216241,929054,1,2.0
39,226108,378912,1,2.0
39,226577,928966,1,2.0
39,235893,416793,1,2.0
39,235893,698960,1,2.0
39,235893,983330,1,2.0
39,236579,321618,1,2.0
39,238108,321618,1,2.0
39,242712,455788,1,2.0
39,269689,272923,1,2.0
39,269689,651657,1,2.0
39,269689,776761,1,2.0
39,270028,770493,1,2.0
39,272923,318513,1,2.0
39,284066,388218,1,2.0
39,284066,455788,1,2.0
39,284066,525714,1,2.0
39,288153,929563,1,2.0
39,308852,397407,1,2.0
39,313746,632498,1,2.0
39,321618,465160,1,2.0
39,321618,651657,1,2.0
39,321618,698960,1,2.0
39,325554,386898,1,2.0
39,325554,698960,1,2.0
39,342434,630741,1,2.0
39,355312,368422,1,2.0
39,356563,516724,1,2.0
39,362192,691563,1,2.0
39,376845,573095,1,2.0
39,386247,957538,1,2.0
39,388218,455788,1,2.0
39,388218,487593,1,2.0
39,388536,477100,1,2.0
39,388536,547114,1,2.0
39,399454,926470,1,2.0
39,400405,979675,1,2.0
39,403943,652664,1,2.0
39,404782,465160,1,2.0
39,404782,698960,1,2.0
39,413255,698960,1,2.0
39,414637,508613,1,2.0
39,425852,434330,1,2.0
39,425852,439726,1,2.0
39,425852,604890,1,2.0
39,425852,678797,1,2.0
39,425852,770493,1,2.0
39,433824,627818,1,2.0
39,434330,439726,1,2.0
39,434330,604890,1,2.0
39,439726,770493,1,2.0
39,447474,917135,1,2.0
39,447722,515833,1,2.0
39,465160,651657,1,2.0
39,465160,698960,1,2.0
39,465160,978786,1,2.0
39,521119,543930,1,2.0
39,525714,915715,1,2.0
39,540256,817830,1,2.0
39,540372,981192,1,2.0
39,546470,693800,1,2.0
39,546470,885598,1,2.0
39,546470,935355,1,2.0
39,547114,604890,1,2.0
39,547114,712299,1,2.0
39,547114,770493,1,2.0
39,551650,739555,1,2.0
39,562850,952674,1,2.0
39,604472,784468,1,2.0
39,604890,770493,1,2.0
39,604890,885598,1,2.0
39,609091,932889,1,2.0
39,614762,975462,1,2.0
39,640511,908172,1,2.0
39,654083,767872,1,2.0
39,664814,763435,1,2.0
39,678797,693800,1,2.0
39,678797,712299,1,2.0
39,678797,885598,1,2.0
39,683173,825192,1,2.0
39,693800,712299,1,2.0
39,712299,935355,1,2.0
39,730824,768219,1,2.0
39,734934,809524,1,2.0
39,743880,902791,1,2.0
39,745899,893957,1,2.0
39,764875,904293,1,2.0
39,784285,970424,1,2.0
39,885598,935355,1,2.0
