day,person_i,person_j,contact_type,weight
39,2003,980033,1,2.0
39,8279,278950,1,2.0
39,9940,228677,1,2.0
39,9940,324771,1,2.0
39,10520,260606,1,2.0
39,14522,145075,1,2.0
39,14522,497225,1,2.0
39,15216,628463,1,2.0
39,17108,86928,1,2.0
39,18837,818323,1,2.0
39,22311,644542,1,2.0
39,28204,842777,1,2.0
39,28550,469708,1,2.0
39,31370,56749,1,2.0
39,31370,86928,1,2.0
39,43268,594067,1,2.0
39,49495,855540,1,2.0
39,61068,645948,1,2.0
39,68403,200736,1,2.0
39,68403,317605,1,2.0
39,70005,623469,1,2.0
39,72932,675874,1,2.0
39,73491,318284,1,2.0
39,75586,705620,1,2.0
39,76187,406574,1,2.0
39,78253,300831,1,2.0
39,82203,124555,1,2.0
39,82203,423746,1,2.0
39,82203,513776,1,2.0
39,100989,573992,1,2.0
39,102405,645948,1,2.0
39,102405,812249,1,2.0
39,105520,467430,1,2.0
39,110771,420149,1,2.0
39,117700,336258,1,2.0
39,117700,397890,1,2.0
39,117700,817931,1,2.0
39,120449,804957,1,2.0
39,124555,205912,1,2.0
39,124930,751783,1,2.0
39,126382,484379,1,2.0
39,135056,528091,1,2.0
39,140835,357274,1,2.0
39,145075,497225,1,2.0
39,145685,206565,1,2.0
39,152793,895360,1,2.0
39,153845,581640,1,2.0
39,154569,759283,1,2.0
39,203382,230571,1,2.0
39,205012,622749,1,2.0
39,205912,423746,1,2.0
39,208154,341995,1,2.0
39,211762,356552,1,2.0
39,225213,821042,1,2.0
39,228677,274575,1,2.0
39,228677,324771,1,2.0
39,231446,986157,1,2.0
39,233068,272777,1,2.0
39,234808,931753,1,2.0
39,245681,251161,1,2.0
39,245681,600761,1,2.0
39,246770,278313,1,2.0
39,267795,292132,1,2.0
39,279474,317605,1,2.0
39,286993,699715,1,2.0
39,303231,605347,1,2.0
39,303273,623760,1,2.0
39,303273,690893,1,2.0
39,303273,851556,1,2.0
39,305254,434708,1,2.0
39,310961,693313,1,2.0
39,341995,605347,1,2.0
39,348650,989739,1,2.0
39,349351,675874,1,2.0
39,354208,573992,1,2.0
39,363567,419958,1,2.0
39,363567,481542,1,2.0
39,363567,939546,1,2.0
39,375041,491216,1,2.0
39,375041,644542,1,2.0
39,377550,789959,1,2.0
39,377550,862942,1,2.0
39,385101,573992,1,2.0
39,391877,770015,1,2.0
39,392805,555335,1,2.0
39,392805,697422,1,2.0
39,395246,449005,1,2.0
39,398098,474245,1,2.0
39,406574,856325,1,2.0
39,406574,888325,1,2.0
39,410228,573899,1,2.0
39,444140,953855,1,2.0
39,472683,491082,1,2.0
39,472683,640035,1,2.0
39,484787,805335,1,2.0
39,488052,960914,1,2.0
39,489984,644456,1,2.0
39,491082,640035,1,2.0
39,491082,924614,1,2.0
39,491216,937234,1,2.0
39,497225,556777,1,2.0
39,528091,730127,1,2.0
39,528091,941896,1,2.0
39,533541,697422,1,2.0
39,551646,594457,1,2.0
39,551646,674114,1,2.0
39,551646,934847,1,2.0
39,566929,799596,1,2.0
39,628449,803944,1,2.0
39,632398,765248,1,2.0
39,634001,706667,1,2.0
39,640035,656611,1,2.0
39,656525,693313,1,2.0
39,675874,741998,1,2.0
39,679620,854769,1,2.0
39,776717,862514,1,2.0
39,781792,885216,1,2.0
39,789959,862942,1,2.0
39,789959,959204,1,2.0
39,862942,959204,1,2.0
